id_estudio,nombre_del_estudio,seguidores_instagram,barrio,zona
EST-0115,Epiler Recoleta,105000.0,Recoleta,Norte
EST-0035,Pilates HIIT,78600.0,Palermo,Norte
EST-0012,Centropilates BA Palermo,54200.0,Palermo,Norte
EST-0017,Oxzen Pilates,50300.0,Palermo,Norte
EST-0126,Nexo Pilates & Therapy Recoleta,34200.0,Recoleta,Norte
EST-0095,ÂME Pilates Body Ballet,23600.0,Belgrano,Norte
EST-0122,Studio Secret to Live,22200.0,Recoleta,Norte
EST-0297,KUYÉN CLUB | PILATES REFORMER HIPFF | ENERGÍA Y MOVIMIENTO QUE TRANSFORMA,16000.0,Almagro,Centro
EST-0010,Clic Pilates Palermo Soho,14600.0,Palermo,Norte
EST-0314,Fullfit,13300.0,Villa Pueyrredón,Norte
EST-0306,Sandra Martínez Auténtico Pilates,12300.0,Villa del Parque,Oeste
EST-0133,Art Pilates,11000.0,Puerto Madero,Centro
EST-0006,Club Palermo Pilates,10400.0,Palermo,Norte
EST-0041,Toulouse Pilates Palermo,10200.0,Palermo,Norte
EST-0130,Maison Pilates & Wellness,9737.0,Recoleta,Norte
EST-0080,Be Pilates,8981.0,Belgrano,Norte
EST-0113,Meraki Yoga & Pilates,8772.0,Recoleta,Norte
EST-0148,Teseo | Pilates Funcional,8704.0,San Nicolás,Centro
EST-0131,Pilatisa tu vida,8560.0,Puerto Madero,Centro
EST-0262,Maximo Pilates,8176.0,Versalles,Oeste
